County,Tabulator ID,Batch,# of Ballot Cards,Location
ClearCreek,1,1,25,Bin #1
ClearCreek,1,2,25,Bin #1
ClearCreek,1,3,25,Bin #1
ClearCreek,1,4,25,Bin #1
ClearCreek,1,5,25,Bin #1
ClearCreek,1,6,25,Bin #1
ClearCreek,1,7,25,Bin #1
ClearCreek,1,8,25,Bin #1
ClearCreek,1,9,25,Bin #1
ClearCreek,1,10,25,Bin #1
ClearCreek,1,11,25,Bin #1
ClearCreek,1,12,25,Bin #1
ClearCreek,1,13,25,Bin #1
ClearCreek,1,14,25,Bin #1
ClearCreek,1,15,25,Bin #1
ClearCreek,1,16,25,Bin #1
ClearCreek,1,17,25,Bin #1
ClearCreek,1,18,25,Bin #1
ClearCreek,1,19,25,Bin #1
ClearCreek,1,20,25,Bin #1
ClearCreek,1,21,25,Bin #1
ClearCreek,1,22,25,Bin #1
ClearCreek,1,23,25,Bin #1
ClearCreek,1,24,25,Bin #1
ClearCreek,1,25,25,Bin #1
ClearCreek,1,26,25,Bin #1
ClearCreek,1,27,25,Bin #1
ClearCreek,1,28,25,Bin #1
ClearCreek,1,29,25,Bin #1
ClearCreek,1,30,25,Bin #1
ClearCreek,1,31,25,Bin #2
ClearCreek,1,32,25,Bin #2
ClearCreek,1,33,25,Bin #2
ClearCreek,1,34,25,Bin #2
ClearCreek,1,35,25,Bin #2
ClearCreek,1,36,25,Bin #2
ClearCreek,1,37,25,Bin #2
ClearCreek,1,38,25,Bin #2
ClearCreek,1,39,25,Bin #2
ClearCreek,1,40,25,Bin #2
ClearCreek,1,41,25,Bin #2
ClearCreek,1,42,25,Bin #2
ClearCreek,1,43,25,Bin #2
ClearCreek,1,44,25,Bin #2
ClearCreek,1,45,25,Bin #2
ClearCreek,1,46,25,Bin #2
ClearCreek,1,47,25,Bin #2
ClearCreek,1,48,25,Bin #2
ClearCreek,1,49,25,Bin #2
ClearCreek,1,50,25,Bin #2
ClearCreek,1,51,25,Bin #2
ClearCreek,1,52,25,Bin #2
ClearCreek,1,53,25,Bin #2
ClearCreek,2,1,25,Bin #1
ClearCreek,2,2,25,Bin #1
ClearCreek,2,3,25,Bin #1
ClearCreek,2,4,25,Bin #1
ClearCreek,2,5,25,Bin #1
ClearCreek,2,6,25,Bin #1
ClearCreek,2,7,25,Bin #1
ClearCreek,2,8,25,Bin #1
ClearCreek,2,9,25,Bin #1
ClearCreek,2,10,25,Bin #1
ClearCreek,2,11,25,Bin #1
ClearCreek,2,12,25,Bin #1
ClearCreek,2,13,25,Bin #1
ClearCreek,2,14,25,Bin #1
ClearCreek,2,15,25,Bin #1
ClearCreek,2,16,25,Bin #1
ClearCreek,2,17,25,Bin #1
ClearCreek,2,18,25,Bin #1
ClearCreek,2,19,25,Bin #1
ClearCreek,2,20,25,Bin #1
ClearCreek,2,21,25,Bin #1
ClearCreek,2,22,25,Bin #1
ClearCreek,2,23,25,Bin #1
ClearCreek,2,24,25,Bin #1
ClearCreek,2,25,25,Bin #1
ClearCreek,2,26,25,Bin #1
ClearCreek,2,27,25,Bin #1
ClearCreek,2,28,25,Bin #1
ClearCreek,2,29,25,Bin #1
ClearCreek,2,30,25,Bin #1
ClearCreek,2,31,25,Bin #2
ClearCreek,2,32,25,Bin #2
ClearCreek,2,33,25,Bin #2
ClearCreek,2,34,25,Bin #2
ClearCreek,2,35,25,Bin #2
ClearCreek,2,36,25,Bin #2
ClearCreek,2,37,26,Bin #2
ClearCreek,2,38,25,Bin #2
ClearCreek,2,39,25,Bin #2
ClearCreek,2,40,29,Bin #2
ClearCreek,2,41,13,Bin #2
ClearCreek,2,42,25,Bin #2
ClearCreek,2,43,25,Bin #2
ClearCreek,2,44,25,Bin #2
ClearCreek,2,45,25,Bin #2
ClearCreek,2,46,25,Bin #2
ClearCreek,2,47,25,Bin #2
ClearCreek,2,48,25,Bin #2
ClearCreek,2,49,7,Bin #2
ClearCreek,2,50,13,Bin #2
