COUNTY,DEVICE ID,BATCH,NUMBER OF BALLOTS,LOCATION
MOFFAT,1,1,25,BOX 1
MOFFAT,1,2,25,BOX 1
MOFFAT,1,3,25,BOX 1
MOFFAT,1,4,25,BOX 1
MOFFAT,1,5,25,BOX 1
MOFFAT,1,6,25,BOX 1
MOFFAT,1,7,25,BOX 1
MOFFAT,1,8,25,BOX 1
MOFFAT,1,9,25,BOX 1
MOFFAT,1,10,25,BOX 1
MOFFAT,1,11,25,BOX 1
MOFFAT,1,12,25,BOX 1
MOFFAT,1,13,25,BOX 1
MOFFAT,1,14,25,BOX 1
MOFFAT,1,15,25,BOX 1
MOFFAT,1,16,25,BOX 1
MOFFAT,1,17,25,BOX 1
MOFFAT,1,18,25,BOX 1
MOFFAT,1,19,25,BOX 1
MOFFAT,1,20,25,BOX 1
MOFFAT,1,21,25,BOX 1
MOFFAT,1,22,25,BOX 1
MOFFAT,1,23,25,BOX 1
MOFFAT,1,24,25,BOX 1
MOFFAT,1,25,25,BOX 1
MOFFAT,1,26,25,BOX 1
MOFFAT,1,27,25,BOX 1
MOFFAT,1,28,25,BOX 1
MOFFAT,1,29,25,BOX 2
MOFFAT,1,30,25,BOX 2
MOFFAT,1,31,25,BOX 2
MOFFAT,1,32,25,BOX 2
MOFFAT,1,33,25,BOX 2
MOFFAT,1,34,25,BOX 2
MOFFAT,1,35,25,BOX 2
MOFFAT,1,36,25,BOX 2
MOFFAT,1,37,25,BOX 2
MOFFAT,1,38,25,BOX 2
MOFFAT,1,39,25,BOX 2
MOFFAT,1,40,25,BOX 2
MOFFAT,1,41,25,BOX 2
MOFFAT,1,42,25,BOX 2
MOFFAT,1,43,25,BOX 2
MOFFAT,1,44,25,BOX 2
MOFFAT,1,45,25,BOX 2
MOFFAT,1,46,25,BOX 2
MOFFAT,1,47,25,BOX 2
MOFFAT,1,48,25,BOX 2
MOFFAT,1,49,25,BOX 2
MOFFAT,1,50,25,BOX 2
MOFFAT,1,51,25,BOX 2
MOFFAT,1,52,25,BOX 2
MOFFAT,1,53,25,BOX 2
MOFFAT,1,54,25,BOX 2
MOFFAT,1,55,25,BOX 2
MOFFAT,1,56,25,BOX 2
MOFFAT,1,57,25,BOX 3
MOFFAT,1,58,25,BOX 3
MOFFAT,1,59,25,BOX 3
MOFFAT,1,60,25,BOX 3
MOFFAT,1,61,25,BOX 3
MOFFAT,1,62,25,BOX 3
MOFFAT,1,63,25,BOX 3
MOFFAT,1,64,25,BOX 3
MOFFAT,1,65,25,BOX 3
MOFFAT,1,66,25,BOX 3
MOFFAT,1,67,25,BOX 3
MOFFAT,1,68,25,BOX 3
MOFFAT,1,69,25,BOX 3
MOFFAT,1,70,25,BOX 3
MOFFAT,1,71,25,BOX 3
MOFFAT,1,72,25,BOX 3
MOFFAT,1,73,25,BOX 3
MOFFAT,1,74,25,BOX 3
MOFFAT,1,75,25,BOX 3
MOFFAT,1,76,25,BOX 3
MOFFAT,1,77,25,BOX 3
MOFFAT,1,78,25,BOX 3
MOFFAT,1,79,25,BOX 3
MOFFAT,1,80,25,BOX 3
MOFFAT,1,81,25,BOX 3
MOFFAT,1,82,25,BOX 3
MOFFAT,1,83,25,BOX 3
MOFFAT,1,84,25,BOX 3
MOFFAT,1,85,25,BOX 3
MOFFAT,1,86,25,BOX 3
MOFFAT,1,87,25,BOX 3
MOFFAT,1,88,25,BOX 3
MOFFAT,1,89,25,BOX 3
MOFFAT,1,90,25,BOX 3
MOFFAT,1,91,25,BOX 3
MOFFAT,1,92,25,BOX 3
MOFFAT,1,93,25,BOX 3
MOFFAT,1,94,25,BOX 4
MOFFAT,1,95,25,BOX 4
MOFFAT,1,96,25,BOX 4
MOFFAT,1,97,25,BOX 4
MOFFAT,1,98,25,BOX 4
MOFFAT,1,99,25,BOX 4
MOFFAT,1,100,25,BOX 4
MOFFAT,1,101,25,BOX 4
MOFFAT,1,102,25,BOX 4
MOFFAT,1,103,25,BOX 4
MOFFAT,1,104,25,BOX 4
MOFFAT,1,105,25,BOX 4
MOFFAT,1,106,25,BOX 4
MOFFAT,1,107,25,BOX 4
MOFFAT,1,108,25,BOX 4
MOFFAT,1,109,25,BOX 4
MOFFAT,1,110,25,BOX 4
MOFFAT,1,111,25,BOX 4
MOFFAT,1,112,25,BOX 4
MOFFAT,1,113,25,BOX 4
MOFFAT,1,114,25,BOX 4
MOFFAT,1,115,25,BOX 4
MOFFAT,1,116,25,BOX 4
MOFFAT,1,117,25,BOX 4
MOFFAT,1,118,25,BOX 4
MOFFAT,1,119,25,BOX 4
MOFFAT,1,120,25,BOX 4
MOFFAT,1,121,25,BOX 5
MOFFAT,1,122,25,BOX 5
MOFFAT,1,123,25,BOX 5
MOFFAT,1,124,25,BOX 5
MOFFAT,1,125,25,BOX 5
MOFFAT,1,126,25,BOX 5
MOFFAT,1,127,25,BOX 5
MOFFAT,1,128,25,BOX 5
MOFFAT,1,129,25,BOX 5
MOFFAT,1,130,25,BOX 5
MOFFAT,1,131,25,BOX 5
MOFFAT,1,132,25,BOX 5
MOFFAT,1,133,25,BOX 5
MOFFAT,1,134,25,BOX 5
MOFFAT,1,135,25,BOX 5
MOFFAT,1,136,25,BOX 5
MOFFAT,1,137,25,BOX 5
MOFFAT,1,138,25,BOX 5
MOFFAT,1,139,33,BOX 5
MOFFAT,1,140,21,BOX 5
MOFFAT,1,141,25,BOX 5
MOFFAT,1,142,25,BOX 5
MOFFAT,1,143,25,BOX 5
MOFFAT,1,144,25,BOX 5
MOFFAT,1,145,3,BOX 5
