County,Tabulator,Batch,# of Ballots,Location
Kiowa,2,1,25,Box 1
Kiowa,2,2,25,Box 1
Kiowa,2,3,25,Box 1
Kiowa,2,4,25,Box 1
Kiowa,2,5,25,Box 1
Kiowa,2,6,25,Box 1
Kiowa,2,7,25,Box 1
Kiowa,2,8,25,Box 1
Kiowa,2,9,25,Box 1
Kiowa,2,10,25,Box 1
Kiowa,2,11,25,Box 1
Kiowa,2,12,25,Box 1
Kiowa,2,13,25,Box 1
Kiowa,2,14,25,Box 1
Kiowa,2,15,25,Box 1
Kiowa,2,16,25,Box 1
Kiowa,2,17,25,Box 1
Kiowa,2,18,25,Box 1
Kiowa,2,19,25,Box 1
Kiowa,2,20,25,Box 1
Kiowa,2,21,25,Box 1
Kiowa,2,22,25,Box 1
Kiowa,2,23,25,Box 1
Kiowa,2,24,25,Box 1
Kiowa,2,25,25,Box 1
Kiowa,2,26,25,Box 1
Kiowa,2,27,24,Box 1
