County,Device ID,Batch,# of Ballot Cards,Location
Garfield ,1,VBM-0001,50,1
Garfield ,1,VBM-0002,50,1
Garfield ,1,VBM-0003,50,1
Garfield ,1,VBM-0004,50,1
Garfield ,1,VBM-0005,50,1
Garfield ,1,VBM-0006,50,1
Garfield ,1,VBM-0007,50,1
Garfield ,1,VBM-0008,50,1
Garfield ,1,VBM-0009,50,1
Garfield ,1,VBM-0010,50,1
Garfield ,1,VBM-0011,50,1
Garfield ,1,VBM-0012,50,1
Garfield ,1,VBM-0013,50,1
Garfield ,1,VBM-0014,50,1
Garfield ,1,VBM-0015,50,1
Garfield ,1,VBM-0016,50,1
Garfield ,1,VBM-0017,50,1
Garfield ,1,VBM-0018,50,1
Garfield ,1,VBM-0019,50,1
Garfield ,1,VBM-0020,50,1
Garfield ,1,VBM-0021,50,1
Garfield ,1,VBM-0022,50,1
Garfield ,1,VBM-0023,50,1
Garfield ,1,VBM-0024,50,1
Garfield ,1,VBM-0025,50,1
Garfield ,1,VBM-0026,50,2
Garfield ,1,VBM-0027,50,2
Garfield ,1,VBM-0028,50,2
Garfield ,1,VBM-0029,50,2
Garfield ,1,VBM-0030,50,2
Garfield ,1,VBM-0031,50,2
Garfield ,1,VBM-0032,50,2
Garfield ,1,VBM-0033,50,2
Garfield ,1,VBM-0034,50,2
Garfield ,1,VBM-0035,50,2
Garfield ,1,VBM-0036,50,2
Garfield ,1,VBM-0037,50,2
Garfield ,1,VBM-0038,50,2
Garfield ,1,VBM-0039,50,2
Garfield ,1,VBM-0040,50,2
Garfield ,1,VBM-0041,50,2
Garfield ,1,VBM-0042,50,2
Garfield ,1,VBM-0043,50,2
Garfield ,1,VBM-0044,50,2
Garfield ,1,VBM-0045,50,2
Garfield ,1,VBM-0046,50,2
Garfield ,1,VBM-0047,50,2
Garfield ,1,VBM-0048,50,2
Garfield ,1,VBM-0049,50,2
Garfield ,1,VBM-0050,50,2
Garfield ,1,VBM-0051,50,2
Garfield ,1,VBM-0052,50,3
Garfield ,1,VBM-0053,50,3
Garfield ,1,VBM-0054,50,3
Garfield ,1,VBM-0055,50,3
Garfield ,1,VBM-0056,50,3
Garfield ,1,VBM-0057,50,3
Garfield ,1,VBM-0058,50,3
Garfield ,1,VBM-0059,50,3
Garfield ,1,VBM-0060,50,3
Garfield ,1,VBM-0061,50,3
Garfield ,1,VBM-0062,50,3
Garfield ,1,VBM-0063,50,3
Garfield ,1,VBM-0064,50,3
Garfield ,1,VBM-0065,50,3
Garfield ,1,VBM-0066,50,3
Garfield ,1,VBM-0067,50,3
Garfield ,1,VBM-0068,50,3
Garfield ,1,VBM-0069,50,3
Garfield ,1,VBM-0070,50,3
Garfield ,1,VBM-0071,50,3
Garfield ,1,VBM-0072,50,3
Garfield ,1,VBM-0073,50,3
Garfield ,1,VBM-0074,50,3
Garfield ,1,VBM-0075,50,3
Garfield ,1,VBM-0076,50,4
Garfield ,1,VBM-0077,50,4
Garfield ,1,VBM-0078,50,4
Garfield ,1,VBM-0079,50,4
Garfield ,1,VBM-0080,50,4
Garfield ,1,VBM-0081,50,4
Garfield ,1,VBM-0082,50,4
Garfield ,1,VBM-0083,50,4
Garfield ,1,VBM-0084,50,4
Garfield ,1,VBM-0085,50,4
Garfield ,1,VBM-0086,50,4
Garfield ,1,VBM-0087,50,4
Garfield ,1,VBM-0088,50,4
Garfield ,1,VBM-0089,50,4
Garfield ,1,VBM-0090,50,4
Garfield ,1,VBM-0091,50,4
Garfield ,1,VBM-0092,50,4
Garfield ,1,VBM-0093,50,4
Garfield ,1,VBM-0094,50,4
Garfield ,1,VBM-0095,50,4
Garfield ,1,VBM-0096,50,4
Garfield ,1,VBM-0097,50,4
Garfield ,1,VBM-0098,50,4
Garfield ,1,VBM-0099,50,4
Garfield ,1,VBM-0100,50,4
Garfield ,1,VBM-0101,50,5
Garfield ,1,VBM-0102,50,5
Garfield ,1,VBM-0103,50,5
Garfield ,1,VBM-0104,50,5
Garfield ,1,VBM-0105,50,5
Garfield ,1,VBM-0106,50,5
Garfield ,1,VBM-0107,50,5
Garfield ,1,VBM-0108,50,5
Garfield ,1,VBM-0109,50,5
Garfield ,1,VBM-0110,50,5
Garfield ,1,VBM-0111,50,5
Garfield ,1,VBM-0112,50,5
Garfield ,1,VBM-0113,50,5
Garfield ,1,VBM-0114,50,5
Garfield ,1,VBM-0115,50,5
Garfield ,1,VBM-0116,50,5
Garfield ,1,VBM-0117,50,5
Garfield ,1,VBM-0118,50,5
Garfield ,1,VBM-0119,50,5
Garfield ,1,VBM-0120,50,5
Garfield ,1,VBM-0121,50,5
Garfield ,1,VBM-0122,50,5
Garfield ,1,VBM-0123,50,5
Garfield ,1,VBM-0124,50,5
Garfield ,1,VBM-0125,50,5
Garfield ,1,VBM-0126,50,6
Garfield ,1,VBM-0127,50,6
Garfield ,1,VBM-0128,50,6
Garfield ,1,VBM-0129,50,6
Garfield ,1,VBM-0130,50,6
Garfield ,1,VBM-0131,50,6
Garfield ,1,VBM-0132,50,6
Garfield ,1,VBM-0133,50,6
Garfield ,1,VBM-0134,50,6
Garfield ,1,VBM-0135,50,6
Garfield ,1,VBM-0136,50,6
Garfield ,1,VBM-0137,50,6
Garfield ,1,VBM-0138,50,6
Garfield ,1,VBM-0139,50,6
Garfield ,1,VBM-0140,50,6
Garfield ,1,VBM-0141,50,6
Garfield ,1,VBM-0142,50,6
Garfield ,1,VBM-0143,50,6
Garfield ,1,VBM-0144,50,6
Garfield ,1,VBM-0145,50,6
Garfield ,1,VBM-0146,50,6
Garfield ,1,VBM-0147,50,6
Garfield ,1,VBM-0148,50,6
Garfield ,1,VBM-0149,50,6
Garfield ,1,VBM-0150,50,6
Garfield ,1,VBM-0151,50,7
Garfield ,1,VBM-0152,50,7
Garfield ,1,VBM-0153,50,7
Garfield ,1,VBM-0154,50,7
Garfield ,1,VBM-0155,50,7
Garfield ,1,VBM-0156,50,7
Garfield ,1,VBM-0157,50,7
Garfield ,1,VBM-0158,50,7
Garfield ,1,VBM-0159,50,7
Garfield ,1,VBM-0160,50,7
Garfield ,1,VBM-0161,50,7
Garfield ,1,VBM-0162,50,7
Garfield ,1,VBM-0163,50,7
Garfield ,1,VBM-0164,50,7
Garfield ,1,VBM-0165,50,7
Garfield ,1,VBM-0166,50,7
Garfield ,1,VBM-0167,50,7
Garfield ,1,VBM-0168,50,7
Garfield ,1,VBM-0169,50,7
Garfield ,1,VBM-0170,50,7
Garfield ,1,VBM-0171,50,7
Garfield ,1,VBM-0172,50,7
Garfield ,1,VBM-0173,50,7
Garfield ,1,VBM-0174,50,7
Garfield ,1,VBM-0175,50,7
Garfield ,1,VBM-0176,50,8
Garfield ,1,VBM-0177,50,8
Garfield ,1,VBM-0178,50,8
Garfield ,1,VBM-0179,50,8
Garfield ,1,VBM-0180,50,8
Garfield ,1,VBM-0181,50,8
Garfield ,1,VBM-0182,50,8
Garfield ,1,VBM-0183,50,8
Garfield ,1,VBM-0184,50,8
Garfield ,1,VBM-0185,50,8
Garfield ,1,VBM-0186,50,8
Garfield ,1,VBM-0187,50,8
Garfield ,1,VBM-0188,50,8
Garfield ,1,VBM-0189,50,8
Garfield ,1,VBM-0190,50,8
Garfield ,1,VBM-0191,50,8
Garfield ,1,VBM-0192,50,8
Garfield ,1,VBM-0193,50,8
Garfield ,1,VBM-0194,50,8
Garfield ,1,VBM-0195,50,8
Garfield ,1,VBM-0196,50,8
Garfield ,1,VBM-0197,50,8
Garfield ,1,VBM-0198,50,8
Garfield ,1,VBM-0199,50,8
Garfield ,1,VBM-0200,50,8
Garfield ,1,VBM-0201,50,9
Garfield ,1,VBM-0202,50,9
Garfield ,1,VBM-0203,50,9
