County,Tabulator ID,Batch,# of Ballot Cards,Location
Elbert,2,1,25,Bin 1
Elbert,2,2,25,Bin 1
Elbert,2,3,25,Bin 1
Elbert,2,4,25,Bin 1
Elbert,2,5,25,Bin 1
Elbert,2,6,25,Bin 1
Elbert,2,7,25,Bin 1
Elbert,2,8,25,Bin 1
Elbert,2,9,25,Bin 1
Elbert,2,10,25,Bin 1
Elbert,2,11,25,Bin 1
Elbert,2,12,25,Bin 1
Elbert,2,13,25,Bin 1
Elbert,2,14,25,Bin 1
Elbert,2,15,25,Bin 1
Elbert,2,16,25,Bin 1
Elbert,2,17,25,Bin 1
Elbert,2,18,25,Bin 1
Elbert,2,19,25,Bin 1
Elbert,2,20,25,Bin 1
Elbert,2,21,25,Bin 1
Elbert,2,22,25,Bin 1
Elbert,2,23,25,Bin 1
Elbert,2,24,25,Bin 1
Elbert,2,25,25,Bin 1
Elbert,2,26,25,Bin 1
Elbert,2,27,25,Bin 1
Elbert,2,28,25,Bin 1
Elbert,2,29,25,Bin 1
Elbert,2,30,25,Bin 1
Elbert,2,31,25,Bin 1
Elbert,2,32,25,Bin 1
Elbert,2,33,25,Bin 1
Elbert,2,34,25,Bin 1
Elbert,2,35,25,Bin 1
Elbert,2,36,25,Bin 1
Elbert,2,37,25,Bin 1
Elbert,2,38,25,Bin 1
Elbert,2,39,25,Bin 1
Elbert,2,40,25,Bin 1
Elbert,2,41,25,Bin 1
Elbert,2,42,25,Bin 1
Elbert,2,43,25,Bin 1
Elbert,2,44,25,Bin 1
Elbert,2,45,25,Bin 1
Elbert,2,46,25,Bin 1
Elbert,2,47,25,Bin 1
Elbert,2,48,25,Bin 1
Elbert,2,49,25,Bin 1
Elbert,2,50,25,Bin 1
Elbert,2,51,25,Bin 1
Elbert,2,52,25,Bin 1
Elbert,2,53,25,Bin 1
Elbert,2,54,25,Bin 1
Elbert,2,55,25,Bin 1
Elbert,2,56,25,Bin 1
Elbert,2,57,25,Bin 1
Elbert,2,58,25,Bin 1
Elbert,2,59,25,Bin 1
Elbert,2,60,25,Bin 1
Elbert,2,61,25,Bin 1
Elbert,2,62,25,Bin 1
Elbert,2,63,25,Bin 1
Elbert,2,64,25,Bin 1
Elbert,2,65,25,Bin 1
Elbert,2,66,25,Bin 1
Elbert,2,67,25,Bin 1
Elbert,2,68,25,Bin 1
Elbert,2,69,25,Bin 1
Elbert,2,70,25,Bin 1
Elbert,2,71,25,Bin 1
Elbert,2,72,25,Bin 1
Elbert,2,73,25,Bin 1
Elbert,2,74,25,Bin 1
Elbert,2,75,25,Bin 1
Elbert,2,76,25,Bin 1
Elbert,2,77,25,Bin 1
Elbert,2,78,25,Bin 1
Elbert,2,79,25,Bin 1
Elbert,2,80,25,Bin 1
Elbert,2,81,25,Bin 1
Elbert,2,82,25,Bin 1
Elbert,2,83,25,Bin 2
Elbert,2,84,25,Bin 2
Elbert,2,85,25,Bin 2
Elbert,2,86,25,Bin 2
Elbert,2,87,25,Bin 2
Elbert,2,88,25,Bin 2
Elbert,2,89,25,Bin 2
Elbert,2,90,25,Bin 2
Elbert,2,91,25,Bin 2
Elbert,2,92,25,Bin 2
Elbert,2,93,25,Bin 2
Elbert,2,94,25,Bin 2
Elbert,2,95,25,Bin 2
Elbert,2,96,25,Bin 2
Elbert,2,97,25,Bin 2
Elbert,2,98,25,Bin 2
Elbert,2,99,25,Bin 2
Elbert,2,100,25,Bin 2
Elbert,2,101,25,Bin 2
Elbert,2,102,25,Bin 2
Elbert,2,103,25,Bin 2
Elbert,2,104,25,Bin 2
Elbert,2,105,25,Bin 2
Elbert,2,106,25,Bin 2
Elbert,2,107,25,Bin 2
Elbert,2,108,25,Bin 2
