County,Tabulator ID,Batch,# of Ballot Cards,Location
Ouray,102,1,25,Bin#1
Ouray,102,2,25,Bin#1
Ouray,102,3,25,Bin#1
Ouray,102,4,25,Bin#1
Ouray,102,5,25,Bin#1
Ouray,102,6,25,Bin#1
Ouray,102,7,25,Bin#1
Ouray,102,8,25,Bin#1
Ouray,102,9,25,Bin#1
Ouray,102,10,25,Bin#1
Ouray,102,11,25,Bin#1
Ouray,102,12,25,Bin#1
Ouray,102,13,25,Bin#1
Ouray,102,14,25,Bin#1
Ouray,102,15,25,Bin#1
Ouray,102,16,25,Bin#1
Ouray,102,17,25,Bin#1
Ouray,102,18,25,Bin#1
Ouray,102,19,25,Bin#1
Ouray,102,20,25,Bin#1
Ouray,102,21,25,Bin#1
Ouray,102,22,25,Bin#1
Ouray,102,23,25,Bin#1
Ouray,102,24,25,Bin#1
Ouray,102,25,25,Bin#1
Ouray,102,26,25,Bin#1
Ouray,102,27,25,Bin#1
Ouray,102,28,25,Bin#1
Ouray,102,29,25,Bin#1
Ouray,102,30,25,Bin#1
Ouray,102,31,25,Bin#1
Ouray,102,32,25,Bin#1
Ouray,102,33,25,Bin#1
Ouray,102,34,25,Bin#1
Ouray,102,35,25,Bin#1
Ouray,102,36,25,Bin#1
Ouray,102,37,25,Bin#1
Ouray,102,38,25,Bin#1
Ouray,102,39,25,Bin#1
Ouray,102,40,25,Bin#1
Ouray,102,41,25,Bin#1
Ouray,102,42,25,Bin#1
Ouray,102,43,25,Bin#1
Ouray,102,44,25,Bin#1
Ouray,102,45,25,Bin#1
Ouray,102,46,25,Bin#1
Ouray,102,47,25,Bin#1
Ouray,102,48,25,Bin#1
Ouray,102,49,25,Bin#1
Ouray,102,50,25,Bin#1
Ouray,102,51,25,Bin#2
Ouray,102,52,25,Bin#2
Ouray,102,53,25,Bin#2
Ouray,102,54,25,Bin#2
Ouray,102,55,25,Bin#2
Ouray,102,56,25,Bin#2
Ouray,102,57,25,Bin#2
Ouray,102,58,25,Bin#2
Ouray,102,59,25,Bin#2
Ouray,102,60,25,Bin#2
Ouray,102,61,25,Bin#2
Ouray,102,62,25,Bin#2
Ouray,102,63,25,Bin#2
Ouray,102,64,25,Bin#2
Ouray,102,65,25,Bin#2
Ouray,102,66,25,Bin#2
Ouray,102,67,25,Bin#2
Ouray,102,68,25,Bin#2
Ouray,102,69,25,Bin#2
Ouray,102,70,25,Bin#2
Ouray,102,71,25,Bin#2
Ouray,102,72,25,Bin#2
Ouray,102,73,25,Bin#2
Ouray,102,74,25,Bin#2
Ouray,102,75,25,Bin#2
Ouray,102,76,25,Bin#2
Ouray,102,77,25,Bin#2
Ouray,102,78,25,Bin#2
Ouray,102,79,25,Bin#2
Ouray,102,80,25,Bin#2
Ouray,102,81,25,Bin#2
Ouray,102,82,25,Bin#2
Ouray,102,83,25,Bin#2
Ouray,102,84,25,Bin#2
Ouray,102,85,25,Bin#2
Ouray,102,86,25,Bin#2
Ouray,102,87,25,Bin#2
Ouray,102,88,25,Bin#2
Ouray,102,89,25,Bin#2
Ouray,102,90,25,Bin#2
Ouray,102,91,25,Bin#2
Ouray,102,92,25,Bin#2
Ouray,102,93,25,Bin#2
Ouray,102,94,25,Bin#2
Ouray,102,95,25,Bin#2
Ouray,102,96,25,Bin#2
Ouray,102,97,25,Bin#2
Ouray,102,98,25,Bin#2
Ouray,102,99,25,Bin#2
Ouray,102,100,25,Bin#2
Ouray,102,101,25,Bin#3
Ouray,102,102,25,Bin#3
Ouray,102,103,25,Bin#3
Ouray,102,104,25,Bin#3
Ouray,102,105,25,Bin#3
Ouray,102,106,14,Bin#3
Ouray,102,107,14,Bin#3
