County,Tabulator,Batch,# of Ballots,Location
Las Animas,4,1,25,Bin 1
Las Animas,4,2,25,Bin 1
Las Animas,4,3,25,Bin 1
Las Animas,4,4,25,Bin 1
Las Animas,4,5,25,Bin 1
Las Animas,4,6,25,Bin 1
Las Animas,4,7,25,Bin 1
Las Animas,4,8,25,Bin 1
Las Animas,4,9,25,Bin 1
Las Animas,4,10,25,Bin 1
Las Animas,4,11,25,Bin 1
Las Animas,4,12,25,Bin 1
Las Animas,4,13,25,Bin 1
Las Animas,4,14,25,Bin 1
Las Animas,4,15,25,Bin 1
Las Animas,4,16,25,Bin 1
Las Animas,4,17,25,Bin 1
Las Animas,4,18,25,Bin 1
Las Animas,4,19,25,Bin 1
Las Animas,4,20,25,Bin 1
Las Animas,4,21,25,Bin 1
Las Animas,4,22,25,Bin 1
Las Animas,4,23,25,Bin 1
Las Animas,4,24,25,Bin 1
Las Animas,4,25,25,Bin 1
Las Animas,4,26,25,Bin 1
Las Animas,4,27,25,Bin 1
Las Animas,4,28,25,Bin 1
Las Animas,4,29,25,Bin 1
Las Animas,4,30,25,Bin 1
Las Animas,4,31,25,Bin 1
Las Animas,4,32,25,Bin 1
Las Animas,4,33,25,Bin 1
Las Animas,4,34,25,Bin 1
Las Animas,4,35,25,Bin 1
Las Animas,4,36,25,Bin 1
Las Animas,4,37,25,Bin 2
Las Animas,4,38,25,Bin 2
Las Animas,4,39,25,Bin 2
Las Animas,4,40,25,Bin 2
Las Animas,4,41,25,Bin 2
Las Animas,4,42,25,Bin 2
Las Animas,4,43,25,Bin 2
Las Animas,4,44,25,Bin 2
Las Animas,4,45,25,Bin2
Las Animas,4,46,25,Bin 2
Las Animas,4,47,25,Bin 2
Las Animas,4,48,25,Bin 2
Las Animas,4,49,25,Bin 2
Las Animas,4,50,25,Bin 2
Las Animas,4,51,25,Bin 2
Las Animas,4,52,25,Bin 2
Las Animas,4,53,25,Bin 2
Las Animas,4,54,25,Bin 2
Las Animas,4,55,25,Bin 2
Las Animas,4,56,25,Bin 2
Las Animas,4,57,25,Bin 2
Las Animas,4,58,25,Bin 2
Las Animas,4,59,25,Bin 2
Las Animas,4,60,25,Bin 2
Las Animas,4,61,25,Bin 2
Las Animas,4,62,25,Bin 2
Las Animas,4,63,25,Bin 2
Las Animas,4,64,25,Bin 2
Las Animas,4,65,25,Bin 2
Las Animas,4,66,25,Bin 2
Las Animas,4,67,25,Bin 2
Las Animas,4,68,25,Bin 2
Las Animas,4,69,25,Bin 2
Las Animas,4,70,25,Bin 2
Las Animas,4,71,25,Bin 2
Las Animas,4,72,25,Bin 2
Las Animas,4,73,25,Bin 2
Las Animas,4,74,25,Bin 2
Las Animas,4,75,25,Bin 2
Las Animas,4,76,25,Bin 2
Las Animas,4,77,25,Bin 2
Las Animas,4,78,25,Bin 2
Las Animas,4,79,25,Bin 2
Las Animas,4,80,25,Bin 2
Las Animas,4,81,25,Bin 2
Las Animas,4,82,25,Bin 2
Las Animas,4,83,25,Bin 2
Las Animas,4,84,25,Bin 2
Las Animas,4,85,25,Bin 2
Las Animas,4,86,25,Bin 2
Las Animas,4,87,25,Bin 2
Las Animas,4,88,25,Bin 2
Las Animas,4,89,25,Bin 2
Las Animas,4,90,25,Bin 2
Las Animas,4,91,25,Bin 3
Las Animas,4,92,25,Bin 3
Las Animas,4,93,25,Bin 3
Las Animas,4,94,25,Bin 3
Las Animas,4,95,25,Bin 3
Las Animas,4,96,25,Bin 3
Las Animas,4,97,25,Bin 3
Las Animas,4,98,25,Bin 3
Las Animas,4,99,25,Bin 3
Las Animas,4,100,25,Bin 3
Las Animas,4,101,25,Bin 3
Las Animas,4,102,25,Bin 3
Las Animas,4,103,25,Bin 3
Las Animas,4,104,25,Bin 3
Las Animas,4,105,25,Bin 3
Las Animas,4,106,25,Bin 3
Las Animas,4,107,25,Bin 3
Las Animas,4,108,25,Bin 3
