County,Tabulator ID,Batch,# of Ballot Cards,Location
Elbert,4,1,25,Bin 1
Elbert,4,2,25,Bin 1
Elbert,4,3,25,Bin 1
Elbert,4,4,25,Bin 1
Elbert,4,5,25,Bin 1
Elbert,4,6,25,Bin 1
Elbert,4,7,25,Bin 1
Elbert,4,8,25,Bin 1
Elbert,4,9,25,Bin 1
Elbert,4,10,25,Bin 1
Elbert,4,11,25,Bin 1
Elbert,4,12,25,Bin 1
Elbert,4,13,25,Bin 1
Elbert,4,14,25,Bin 1
Elbert,4,15,25,Bin 1
Elbert,4,16,25,Bin 1
Elbert,4,17,25,Bin 1
Elbert,4,18,25,Bin 1
Elbert,4,19,25,Bin 1
Elbert,4,20,25,Bin 1
Elbert,4,21,25,Bin 1
Elbert,4,22,25,Bin 1
Elbert,4,23,25,Bin 1
Elbert,4,24,25,Bin 1
Elbert,4,25,25,Bin 1
Elbert,4,26,25,Bin 1
Elbert,4,27,25,Bin 1
Elbert,4,28,25,Bin 1
Elbert,4,29,25,Bin 1
Elbert,4,30,25,Bin 1
Elbert,4,31,25,Bin 1
Elbert,4,32,25,Bin 1
Elbert,4,33,25,Bin 1
Elbert,4,34,25,Bin 1
Elbert,4,35,25,Bin 1
Elbert,4,36,25,Bin 1
Elbert,4,37,25,Bin 1
Elbert,4,38,25,Bin 1
Elbert,4,39,25,Bin 1
Elbert,4,40,25,Bin 1
Elbert,4,41,25,Bin 1
Elbert,4,42,25,Bin 1
Elbert,4,43,25,Bin 1
Elbert,4,44,25,Bin 1
Elbert,4,45,25,Bin 1
Elbert,4,46,25,Bin 1
Elbert,4,47,25,Bin 1
Elbert,4,48,25,Bin 1
Elbert,4,49,25,Bin 1
Elbert,4,50,25,Bin 1
Elbert,4,51,25,Bin 2
Elbert,4,52,25,Bin 2
Elbert,4,53,25,Bin 2
Elbert,4,54,25,Bin 2
Elbert,4,55,25,Bin 2
Elbert,4,56,25,Bin 2
Elbert,4,57,25,Bin 2
Elbert,4,58,25,Bin 2
Elbert,4,59,25,Bin 2
Elbert,4,60,25,Bin 2
Elbert,4,61,25,Bin 2
Elbert,4,62,25,Bin 2
Elbert,4,63,25,Bin 2
Elbert,4,64,25,Bin 2
Elbert,4,65,25,Bin 2
Elbert,4,66,25,Bin 2
Elbert,4,67,25,Bin 2
Elbert,4,68,25,Bin 2
Elbert,4,69,25,Bin 2
Elbert,4,70,25,Bin 2
Elbert,4,71,25,Bin 2
Elbert,4,72,25,Bin 2
Elbert,4,73,25,Bin 2
Elbert,4,74,25,Bin 2
Elbert,4,75,25,Bin 2
Elbert,4,76,25,Bin 2
Elbert,4,77,25,Bin 2
Elbert,4,78,25,Bin 2
Elbert,4,79,25,Bin 2
Elbert,4,80,25,Bin 2
Elbert,4,81,25,Bin 2
Elbert,4,82,25,Bin 2
Elbert,4,83,25,Bin 2
Elbert,4,84,25,Bin 2
Elbert,4,85,25,Bin 2
Elbert,4,86,25,Bin 2
Elbert,4,87,25,Bin 2
Elbert,4,88,25,Bin 2
Elbert,4,89,25,Bin 2
Elbert,4,90,25,Bin 2
Elbert,4,91,25,Bin 2
Elbert,4,92,25,Bin 2
Elbert,4,93,25,Bin 2
Elbert,4,94,25,Bin 2
Elbert,4,95,25,Bin 2
Elbert,4,96,25,Bin 2
Elbert,4,97,25,Bin 2
Elbert,4,98,25,Bin 2
Elbert,4,99,25,Bin 2
Elbert,4,100,25,Bin 2
Elbert,4,101,25,Bin 3
Elbert,4,102,25,Bin 3
Elbert,4,103,25,Bin 3
Elbert,4,104,25,Bin 3
Elbert,4,105,25,Bin 3
Elbert,4,106,25,Bin 3
Elbert,4,107,25,Bin 3
Elbert,4,108,25,Bin 3
Elbert,4,109,25,Bin 3
Elbert,4,110,25,Bin 3
Elbert,4,111,25,Bin 3
Elbert,4,112,25,Bin 3
Elbert,4,113,25,Bin 3
Elbert,4,114,25,Bin 3
Elbert,4,115,25,Bin 3
Elbert,4,116,25,Bin 3
Elbert,4,117,25,Bin 3
Elbert,4,118,25,Bin 3
Elbert,4,119,25,Bin 3
Elbert,4,120,25,Bin 3
Elbert,4,121,25,Bin 3
Elbert,4,122,25,Bin 3
Elbert,4,123,25,Bin 3
Elbert,4,124,25,Bin 3
Elbert,4,125,25,Bin 3
Elbert,4,126,25,Bin 3
Elbert,4,127,25,Bin 3
Elbert,4,128,25,Bin 3
Elbert,4,129,25,Bin 3
Elbert,4,130,25,Bin 3
Elbert,4,131,25,Bin 3
Elbert,4,132,25,Bin 3
Elbert,4,133,25,Bin 3
Elbert,4,134,25,Bin 3
Elbert,4,135,25,Bin 3
Elbert,4,136,25,Bin 3
Elbert,4,137,25,Bin 3
Elbert,4,138,25,Bin 3
Elbert,4,139,25,Bin 3
Elbert,4,140,25,Bin 3
Elbert,4,141,25,Bin 3
Elbert,4,142,25,Bin 3
Elbert,4,143,25,Bin 3
Elbert,4,144,25,Bin 3
Elbert,4,145,25,Bin 3
Elbert,4,146,25,Bin 3
Elbert,4,147,25,Bin 3
Elbert,4,148,25,Bin 3
Elbert,4,149,25,Bin 3
Elbert,4,150,25,Bin 3
Elbert,4,151,25,Bin 4
Elbert,4,152,25,Bin 4
Elbert,4,153,25,Bin 4
Elbert,4,154,25,Bin 4
Elbert,4,155,25,Bin 4
Elbert,4,156,25,Bin 4
Elbert,4,157,25,Bin 4
Elbert,4,158,25,Bin 4
Elbert,4,159,25,Bin 4
Elbert,4,160,25,Bin 4
Elbert,4,161,25,Bin 4
Elbert,4,162,25,Bin 4
Elbert,4,163,25,Bin 4
Elbert,4,164,25,Bin 4
Elbert,4,165,25,Bin 4
Elbert,4,166,25,Bin 4
Elbert,4,167,25,Bin 4
Elbert,4,168,25,Bin 4
Elbert,4,169,25,Bin 4
Elbert,4,170,25,Bin 4
Elbert,4,171,25,Bin 4
Elbert,4,172,25,Bin 4
Elbert,4,173,25,Bin 4
Elbert,4,174,25,Bin 4
