County,Device ID,Batch,# of Ballots,Location
Fremont,2,1,25,Box 1
Fremont,2,2,25,Box 1
Fremont,2,3,25,Box 1
Fremont,2,4,25,Box 1
Fremont,2,5,25,Box 1
Fremont,2,6,25,Box 1
Fremont,2,7,25,Box 1
Fremont,2,8,25,Box 1
Fremont,2,9,25,Box 1
Fremont,2,10,25,Box 1
Fremont,2,11,25,Box 1
Fremont,2,12,25,Box 1
Fremont,2,13,25,Box 1
Fremont,2,14,25,Box 1
Fremont,2,15,25,Box 1
Fremont,2,16,25,Box 1
Fremont,2,17,25,Box 1
Fremont,2,18,25,Box 1
Fremont,2,19,25,Box 1
Fremont,2,20,25,Box 1
Fremont,2,21,25,Box 1
Fremont,2,22,25,Box 1
Fremont,2,23,25,Box 1
Fremont,2,24,25,Box 1
Fremont,2,25,25,Box 1
Fremont,2,26,25,Box 1
Fremont,2,27,25,Box 1
Fremont,2,28,25,Box 1
Fremont,2,29,25,Box 1
Fremont,2,30,25,Box 1
Fremont,2,31,25,Box 1
Fremont,2,32,25,Box 1
Fremont,2,33,25,Box 1
Fremont,2,34,25,Box 1
Fremont,2,35,25,Box 1
Fremont,2,36,25,Box 1
Fremont,2,37,25,Box 1
Fremont,2,38,25,Box 1
Fremont,2,39,25,Box 1
Fremont,2,40,25,Box 1
Fremont,2,41,25,Box 1
Fremont,2,42,25,Box 1
Fremont,2,43,25,Box 1
Fremont,2,44,25,Box 1
Fremont,2,45,25,Box 1
Fremont,2,46,25,Box 1
Fremont,2,47,25,Box 1
Fremont,2,48,25,Box 1
Fremont,2,49,25,Box 1
Fremont,2,50,25,Box 1
Fremont,2,51,25,Box 1
Fremont,2,52,25,Box 1
Fremont,2,53,25,Box 2
Fremont,2,54,25,Box 2
Fremont,2,55,25,Box 2
Fremont,2,56,25,Box 2
Fremont,2,57,25,Box 2
Fremont,2,58,25,Box 2
Fremont,2,59,25,Box 2
Fremont,2,60,25,Box 2
Fremont,2,61,25,Box 2
Fremont,2,62,25,Box 2
Fremont,2,63,25,Box 2
Fremont,2,64,25,Box 2
Fremont,2,65,25,Box 2
Fremont,2,66,25,Box 2
Fremont,2,67,25,Box 2
Fremont,2,68,25,Box 2
Fremont,2,69,25,Box 2
Fremont,2,70,25,Box 2
Fremont,2,71,25,Box 2
Fremont,2,72,25,Box 2
Fremont,2,73,25,Box 2
Fremont,2,74,25,Box 2
Fremont,2,75,25,Box 2
Fremont,2,76,25,Box 2
Fremont,2,77,25,Box 2
Fremont,2,78,25,Box 2
Fremont,2,79,25,Box 2
Fremont,2,80,25,Box 2
Fremont,2,81,25,Box 2
Fremont,2,82,25,Box 2
Fremont,2,83,25,Box 2
Fremont,2,84,25,Box 2
Fremont,2,85,25,Box 2
Fremont,2,86,25,Box 2
Fremont,2,87,25,Box 2
Fremont,2,88,25,Box 2
Fremont,2,89,25,Box 2
Fremont,2,90,25,Box 2
Fremont,2,91,25,Box 2
Fremont,2,92,25,Box 2
Fremont,2,93,25,Box 2
Fremont,2,94,25,Box 2
Fremont,2,95,25,Box 2
Fremont,2,96,25,Box 2
Fremont,2,97,25,Box 2
Fremont,2,98,25,Box 2
Fremont,2,99,25,Box 2
Fremont,2,100,25,Box 2
Fremont,2,101,25,Box 3
Fremont,2,102,25,Box 3
Fremont,2,103,25,Box 3
Fremont,2,104,25,Box 3
Fremont,2,105,25,Box 3
Fremont,2,106,25,Box 3
Fremont,2,107,25,Box 3
Fremont,2,108,25,Box 3
Fremont,2,109,25,Box 3
Fremont,2,110,25,Box 3
Fremont,2,111,25,Box 3
Fremont,2,112,25,Box 3
Fremont,2,113,25,Box 3
Fremont,2,114,25,Box 3
Fremont,2,115,25,Box 3
Fremont,2,116,25,Box 3
Fremont,2,117,25,Box 3
Fremont,2,118,25,Box 3
Fremont,2,119,25,Box 3
Fremont,2,120,25,Box 3
Fremont,2,121,25,Box 3
Fremont,2,122,25,Box 3
Fremont,2,123,25,Box 3
Fremont,2,124,25,Box 3
Fremont,2,125,25,Box 3
Fremont,2,126,25,Box 3
Fremont,2,127,25,Box 3
Fremont,2,128,25,Box 3
Fremont,2,129,25,Box 3
Fremont,2,130,25,Box 3
Fremont,2,131,25,Box 3
Fremont,2,132,25,Box 3
Fremont,2,133,25,Box 3
Fremont,2,134,25,Box 3
Fremont,2,135,25,Box 3
Fremont,2,136,25,Box 3
Fremont,2,137,25,Box 4
Fremont,2,138,25,Box 4
Fremont,2,139,25,Box 4
Fremont,2,140,25,Box 4
Fremont,2,141,25,Box 4
Fremont,2,142,25,Box 4
Fremont,2,143,25,Box 4
Fremont,2,144,25,Box 4
Fremont,2,145,25,Box 4
Fremont,2,146,25,Box 4
Fremont,2,147,25,Box 4
Fremont,2,148,25,Box 4
Fremont,2,149,25,Box 4
Fremont,2,150,25,Box 4
Fremont,2,151,25,Box 4
Fremont,2,152,25,Box 4
Fremont,2,153,25,Box 4
Fremont,2,154,25,Box 4
Fremont,2,155,25,Box 4
Fremont,2,156,25,Box 4
Fremont,2,157,25,Box 4
Fremont,2,158,25,Box 4
Fremont,2,159,25,Box 4
Fremont,2,160,25,Box 4
Fremont,2,161,25,Box 4
Fremont,2,162,25,Box 4
Fremont,2,163,25,Box 4
Fremont,2,164,25,Box 4
Fremont,2,165,25,Box 4
Fremont,2,166,25,Box 4
Fremont,2,167,25,Box 4
Fremont,2,168,25,Box 4
Fremont,2,169,25,Box 4
Fremont,2,170,25,Box 4
Fremont,2,171,25,Box 4
Fremont,2,172,25,Box 4
Fremont,2,173,25,Box 4
Fremont,2,174,25,Box 4
Fremont,2,175,25,Box 4
Fremont,2,176,25,Box 4
Fremont,2,177,25,Box 4
Fremont,2,178,25,Box 4
Fremont,2,179,25,Box 4
Fremont,2,180,25,Box 4
Fremont,2,181,25,Box 4
Fremont,2,182,25,Box 4
Fremont,2,183,25,Box 4
Fremont,2,184,25,Box 5
Fremont,2,185,25,Box 5
Fremont,2,186,25,Box 5
Fremont,2,187,25,Box 5
Fremont,2,188,25,Box 5
Fremont,2,189,25,Box 5
Fremont,2,190,25,Box 5
Fremont,2,191,25,Box 5
Fremont,2,192,25,Box 5
Fremont,2,193,25,Box 5
Fremont,2,194,25,Box 5
Fremont,2,195,25,Box 5
Fremont,2,196,25,Box 5
Fremont,2,197,25,Box 5
Fremont,2,198,25,Box 5
Fremont,2,199,25,Box 5
Fremont,2,200,25,Box 5
Fremont,2,201,25,Box 5
Fremont,2,202,25,Box 5
Fremont,2,203,25,Box 5
Fremont,2,204,25,Box 5
Fremont,2,205,25,Box 5
Fremont,2,206,25,Box 5
Fremont,2,207,25,Box 5
Fremont,2,208,25,Box 5
Fremont,2,209,25,Box 5
Fremont,2,210,25,Box 5
Fremont,2,211,25,Box 5
Fremont,2,212,25,Box 5
Fremont,2,213,25,Box 5
Fremont,2,214,25,Box 5
Fremont,2,215,25,Box 5
Fremont,2,216,25,Box 5
Fremont,2,217,25,Box 5
Fremont,2,218,25,Box 5
Fremont,2,219,25,Box 5
Fremont,2,220,25,Box 5
Fremont,2,221,25,Box 5
Fremont,2,222,25,Box 5
Fremont,2,223,25,Box 5
Fremont,2,224,25,Box 5
Fremont,2,225,25,Box 5
Fremont,2,226,25,Box 5
Fremont,2,227,25,Box 5
Fremont,2,228,25,Box 5
Fremont,2,229,25,Box 5
Fremont,2,230,25,Box 5
Fremont,2,231,25,Box 5
Fremont,2,232,25,Box 6
Fremont,2,233,25,Box 6
Fremont,2,234,25,Box 6
Fremont,2,235,25,Box 6
Fremont,2,236,25,Box 6
Fremont,2,237,25,Box 6
Fremont,2,238,25,Box 6
Fremont,2,239,25,Box 6
Fremont,2,240,25,Box 6
Fremont,2,241,25,Box 6
Fremont,2,242,25,Box 6
Fremont,2,243,25,Box 6
Fremont,2,244,25,Box 6
Fremont,2,245,25,Box 6
Fremont,2,246,25,Box 6
Fremont,2,247,25,Box 6
Fremont,2,248,25,Box 6
Fremont,2,249,25,Box 6
Fremont,2,250,25,Box 6
Fremont,2,251,25,Box 6
Fremont,2,252,25,Box 6
Fremont,2,253,25,Box 6
Fremont,2,254,25,Box 6
Fremont,2,255,25,Box 6
Fremont,2,256,25,Box 6
Fremont,2,257,25,Box 6
Fremont,2,258,25,Box 6
Fremont,2,259,25,Box 6
Fremont,2,260,25,Box 6
Fremont,2,261,25,Box 6
Fremont,2,262,25,Box 6
Fremont,2,263,25,Box 6
Fremont,2,264,25,Box 6
Fremont,2,265,25,Box 6
Fremont,2,266,25,Box 6
Fremont,2,267,25,Box 6
Fremont,2,268,25,Box 6
Fremont,2,269,25,Box 6
Fremont,2,270,25,Box 6
Fremont,2,271,25,Box 6
Fremont,2,272,25,Box 6
Fremont,2,273,25,Box 6
Fremont,2,274,25,Box 6
Fremont,2,275,25,Box 6
Fremont,2,276,25,Box 6
Fremont,2,277,25,Box 6
Fremont,2,278,25,Box 6
Fremont,2,279,25,Box 6
Fremont,2,280,25,Box 6
Fremont,2,281,25,Box 6
Fremont,2,282,25,Box 6
Fremont,2,283,25,Box 6
Fremont,2,284,25,Box 6
Fremont,2,285,25,Box 6
Fremont,2,286,25,Box 6
Fremont,2,287,25,Box 6
Fremont,2,288,25,Box 7
Fremont,2,289,25,Box 7
Fremont,2,290,25,Box 7
Fremont,2,291,25,Box 7
Fremont,2,292,25,Box 7
Fremont,2,293,25,Box 7
Fremont,2,294,25,Box 7
Fremont,2,295,25,Box 7
Fremont,2,296,25,Box 7
Fremont,2,297,25,Box 7
Fremont,2,298,25,Box 7
Fremont,2,299,25,Box 7
Fremont,2,300,25,Box 7
Fremont,2,301,25,Box 7
Fremont,2,302,25,Box 7
Fremont,2,303,25,Box 7
Fremont,2,304,25,Box 7
Fremont,2,305,25,Box 7
Fremont,2,306,25,Box 7
Fremont,2,307,25,Box 7
Fremont,2,308,25,Box 7
Fremont,2,309,25,Box 7
Fremont,2,310,25,Box 7
Fremont,2,311,25,Box 7
Fremont,2,312,25,Box 7
Fremont,2,313,25,Box 7
Fremont,2,314,25,Box 7
Fremont,2,315,25,Box 7
Fremont,2,316,25,Box 7
Fremont,2,317,25,Box 7
Fremont,2,318,25,Box 7
Fremont,2,319,25,Box 7
Fremont,2,320,25,Box 7
Fremont,2,321,25,Box 7
Fremont,2,322,25,Box 7
Fremont,2,323,25,Box 7
Fremont,2,324,25,Box 7
Fremont,2,325,25,Box 7
Fremont,2,326,25,Box 7
Fremont,2,327,25,Box 7
Fremont,2,328,25,Box 7
Fremont,2,329,25,Box 7
Fremont,2,330,25,Box 7
Fremont,2,331,25,Box 7
Fremont,2,332,25,Box 7
Fremont,2,333,25,Box 7
Fremont,2,334,25,Box 7
Fremont,2,335,25,Box 7
Fremont,2,336,25,Box 7
Fremont,2,337,25,Box 7
Fremont,2,338,25,Box 7
Fremont,2,339,25,Box 7
Fremont,2,340,25,Box 7
Fremont,2,341,25,Box 7
Fremont,2,342,25,Box 7
Fremont,2,343,25,Box 7
Fremont,2,344,25,Box 8
Fremont,2,345,25,Box 8
Fremont,2,346,25,Box 8
Fremont,2,347,25,Box 8
Fremont,2,348,25,Box 8
Fremont,2,349,25,Box 8
Fremont,2,350,25,Box 8
Fremont,2,351,25,Box 8
Fremont,2,352,25,Box 8
Fremont,2,353,25,Box 8
Fremont,2,354,25,Box 8
Fremont,2,355,25,Box 8
Fremont,2,356,25,Box 8
Fremont,2,357,25,Box 8
Fremont,2,358,25,Box 8
Fremont,2,359,25,Box 8
Fremont,2,360,25,Box 8
Fremont,2,361,25,Box 8
Fremont,2,362,25,Box 8
Fremont,2,363,25,Box 8
Fremont,2,364,25,Box 8
Fremont,2,365,25,Box 8
Fremont,2,366,25,Box 8
Fremont,2,367,25,Box 8
