County,Tabulator ID,Batch,# of Ballot Cards,Location
Teller,2,1,25,1
Teller,2,2,25,1
Teller,2,3,25,1
Teller,2,4,25,1
Teller,2,5,25,1
Teller,2,6,25,1
Teller,2,7,25,1
Teller,2,8,25,1
Teller,2,9,25,1
Teller,2,10,25,1
Teller,2,11,25,1
Teller,2,12,24,1
Teller,2,13,24,1
Teller,2,14,25,1
Teller,2,15,23,1
Teller,2,16,25,1
Teller,2,17,25,1
Teller,2,18,25,1
Teller,2,19,23,1
Teller,2,20,25,1
Teller,2,21,25,1
Teller,2,22,25,1
Teller,2,23,25,1
Teller,2,24,25,1
Teller,2,25,25,1
Teller,2,26,24,1
Teller,2,27,24,1
Teller,2,28,24,1
Teller,2,29,25,1
Teller,2,30,25,1
Teller,2,31,25,1
Teller,2,32,25,1
Teller,2,33,25,1
Teller,2,34,25,1
Teller,2,35,25,1
Teller,2,36,25,1
Teller,2,37,25,1
Teller,2,38,25,1
Teller,2,39,25,1
Teller,2,40,25,1
Teller,2,41,25,1
Teller,2,42,25,1
Teller,2,43,25,1
Teller,2,44,25,1
Teller,2,45,25,1
Teller,2,46,25,1
Teller,2,47,25,1
Teller,2,48,25,1
Teller,2,49,25,1
Teller,2,50,25,1
Teller,2,51,25,1
Teller,2,52,22,1
Teller,2,53,24,1
Teller,2,54,25,1
Teller,2,55,25,1
Teller,2,56,24,1
Teller,2,57,25,1
Teller,2,58,24,1
Teller,2,59,25,1
Teller,2,60,25,1
Teller,2,61,24,1
Teller,2,62,24,1
Teller,2,63,24,1
Teller,2,64,24,1
Teller,2,65,25,1
Teller,2,66,24,2
Teller,2,67,25,2
Teller,2,68,24,2
Teller,2,69,20,2
Teller,2,70,25,2
Teller,2,71,25,2
Teller,2,72,25,2
Teller,2,73,19,2
Teller,2,74,25,2
Teller,2,75,25,2
Teller,2,76,25,2
Teller,2,77,24,2
Teller,2,78,25,2
Teller,2,79,25,2
Teller,2,80,25,2
Teller,2,81,25,2
Teller,2,82,25,2
Teller,2,83,25,2
Teller,2,84,24,2
Teller,2,85,25,2
Teller,2,86,24,2
Teller,2,87,25,2
Teller,2,88,25,2
Teller,2,89,23,2
Teller,2,90,25,2
Teller,2,91,25,2
Teller,2,92,25,2
Teller,2,93,25,2
Teller,2,94,25,2
Teller,2,95,25,2
Teller,2,96,25,2
Teller,2,97,25,2
Teller,2,98,25,2
Teller,2,99,24,2
Teller,2,100,25,2
Teller,2,101,25,2
Teller,2,102,25,2
Teller,2,103,25,2
Teller,2,104,25,2
Teller,2,105,25,2
Teller,2,106,24,2
Teller,2,107,25,2
Teller,2,108,24,2
Teller,2,109,25,2
Teller,2,110,25,2
Teller,2,111,24,2
Teller,2,112,25,2
Teller,2,113,25,2
Teller,2,114,25,2
Teller,2,115,24,2
Teller,2,116,25,2
Teller,2,117,10,2
Teller,2,118,23,2
Teller,2,119,22,2
Teller,2,120,25,2
Teller,2,121,25,2
Teller,2,122,24,2
Teller,2,123,25,2
Teller,2,124,24,2
Teller,2,125,24,2
Teller,2,126,24,2
Teller,2,127,24,2
Teller,2,128,25,2
Teller,2,129,24,2
Teller,2,130,23,2
Teller,2,131,25,2
Teller,2,132,24,2
Teller,2,133,24,2
Teller,2,134,25,2
Teller,2,135,22,2
Teller,2,136,24,2
Teller,2,137,24,2
Teller,2,138,25,3
Teller,2,139,24,3
Teller,2,140,24,3
Teller,2,141,23,3
Teller,2,142,25,3
Teller,2,143,24,3
Teller,2,144,24,3
Teller,2,145,24,3
Teller,2,146,24,3
Teller,2,147,23,3
Teller,2,148,25,3
Teller,2,149,25,3
Teller,2,150,25,3
Teller,2,151,25,3
Teller,2,152,25,3
Teller,2,153,25,3
Teller,2,154,25,3
Teller,2,155,25,3
Teller,2,156,25,3
Teller,2,157,25,3
Teller,2,158,25,3
Teller,2,159,24,3
Teller,2,160,25,3
Teller,2,161,25,3
Teller,2,162,25,3
