County,Tabulator ID,Batch,# of Ballot Cards,Location
Yuma,2,1,25,1
Yuma,2,2,25,1
Yuma,2,3,25,1
Yuma,2,4,25,1
Yuma,2,5,25,1
Yuma,2,6,25,1
Yuma,2,7,25,1
Yuma,2,8,25,1
Yuma,2,9,25,1
Yuma,2,10,25,1
Yuma,2,11,25,1
Yuma,2,12,25,1
Yuma,2,13,25,1
Yuma,2,14,25,1
Yuma,2,15,25,1
Yuma,2,16,25,1
Yuma,2,17,25,1
Yuma,2,18,25,1
Yuma,2,19,25,1
Yuma,2,20,25,1
Yuma,2,21,25,1
Yuma,2,22,25,1
Yuma,2,23,25,1
Yuma,2,24,25,1
Yuma,2,25,25,1
Yuma,2,26,25,1
Yuma,2,27,25,1
Yuma,2,28,25,1
Yuma,2,29,25,1
Yuma,2,30,25,1
Yuma,2,31,25,1
Yuma,2,32,25,1
Yuma,2,33,25,1
Yuma,2,34,25,1
Yuma,2,35,25,1
Yuma,2,36,25,1
Yuma,2,37,25,1
Yuma,2,38,25,1
Yuma,2,39,25,1
Yuma,2,40,25,1
Yuma,2,41,25,1
Yuma,2,42,25,1
Yuma,2,43,25,1
Yuma,2,44,25,1
Yuma,2,45,25,1
Yuma,2,46,25,1
Yuma,2,47,25,1
Yuma,2,48,25,1
Yuma,2,49,25,2
Yuma,2,50,25,2
Yuma,2,51,25,2
Yuma,2,52,25,2
Yuma,2,53,25,2
Yuma,2,54,25,2
Yuma,2,55,25,2
Yuma,2,56,25,2
Yuma,2,57,25,2
Yuma,2,58,25,2
Yuma,2,59,25,2
Yuma,2,60,25,2
Yuma,2,61,25,2
Yuma,2,62,25,2
Yuma,2,63,25,2
Yuma,2,64,25,2
Yuma,2,65,25,2
Yuma,2,66,25,2
Yuma,2,67,25,2
Yuma,2,68,25,2
Yuma,2,69,25,2
Yuma,2,70,25,2
Yuma,2,71,25,2
Yuma,2,72,25,2
Yuma,2,73,25,2
Yuma,2,74,25,2
Yuma,2,75,25,2
Yuma,2,76,25,2
Yuma,2,77,25,2
Yuma,2,78,25,2
Yuma,2,79,25,2
Yuma,2,80,25,2
Yuma,2,81,25,2
Yuma,2,82,25,2
Yuma,2,83,25,2
Yuma,2,84,4,2
Yuma,2,85,25,2
Yuma,2,86,25,2
Yuma,2,87,21,2
Yuma,2,88,25,2
Yuma,2,89,25,2
Yuma,2,90,25,2
Yuma,2,91,25,2
Yuma,2,92,25,3
Yuma,2,93,25,3
Yuma,2,94,25,3
Yuma,2,95,25,3
Yuma,2,96,25,3
Yuma,2,97,25,3
Yuma,2,98,24,3
Yuma,2,99,24,3
Yuma,2,100,25,3
Yuma,2,101,25,3
Yuma,2,102,25,3
Yuma,2,103,25,3
Yuma,2,104,23,3
Yuma,2,105,23,3
Yuma,2,106,25,3
Yuma,2,107,25,3
Yuma,2,108,25,3
Yuma,2,109,25,3
Yuma,2,110,4,3
Yuma,2,111,15,3
Yuma,2,112,38,3
