County,Tabulator ID,Batch,# of Ballot Cards,Location
Gilpin,101,1,25,Box 1
Gilpin,101,2,25,Box 1
Gilpin,101,3,25,Box 1
Gilpin,101,4,25,Box 1
Gilpin,101,5,25,Box 1
Gilpin,101,6,25,Box 1
Gilpin,101,7,25,Box 1
Gilpin,101,8,25,Box 1
Gilpin,101,9,24,Box 1
Gilpin,101,10,25,Box 1
Gilpin,101,11,25,Box 1
Gilpin,101,12,24,Box 1
Gilpin,101,13,25,Box 1
Gilpin,101,14,25,Box 1
Gilpin,101,15,25,Box 1
Gilpin,101,16,25,Box 1
Gilpin,101,17,25,Box 1
Gilpin,101,18,25,Box 1
Gilpin,101,19,25,Box 1
Gilpin,101,20,25,Box 1
Gilpin,101,21,25,Box 1
Gilpin,101,22,25,Box 1
Gilpin,101,23,25,Box 1
Gilpin,101,24,25,Box 1
Gilpin,101,25,25,Box 1
Gilpin,101,26,25,Box 1
Gilpin,101,27,25,Box 1
Gilpin,101,28,25,Box 1
Gilpin,101,29,25,Box 1
Gilpin,101,30,25,Box 1
Gilpin,101,31,25,Box 1
Gilpin,101,32,25,Box 1
Gilpin,101,33,25,Box 1
Gilpin,101,34,25,Box 1
Gilpin,101,35,25,Box 1
Gilpin,101,36,25,Box 1
Gilpin,101,37,25,Box 1
Gilpin,101,38,25,Box 1
Gilpin,101,39,25,Box 1
Gilpin,101,40,25,Box 1
Gilpin,101,41,25,Box 2
Gilpin,101,42,25,Box 2
Gilpin,101,43,25,Box 2
Gilpin,101,44,25,Box 2
Gilpin,101,45,25,Box 2
Gilpin,101,46,25,Box 2
Gilpin,101,47,25,Box 2
Gilpin,101,48,25,Box 2
Gilpin,101,49,25,Box 2
Gilpin,101,50,25,Box 2
Gilpin,101,51,23,Box 2
Gilpin,101,52,25,Box 2
Gilpin,101,53,25,Box 2
Gilpin,101,54,25,Box 2
Gilpin,101,55,25,Box 2
Gilpin,101,56,25,Box 2
Gilpin,101,57,25,Box 2
Gilpin,101,58,25,Box 2
Gilpin,101,59,25,Box 2
Gilpin,101,60,25,Box 2
Gilpin,101,61,25,Box 2
Gilpin,101,62,25,Box 2
Gilpin,101,63,25,Box 2
Gilpin,101,64,25,Box 2
Gilpin,101,65,25,Box 2
Gilpin,101,66,25,Box 2
Gilpin,101,67,25,Box 2
Gilpin,101,68,25,Box 2
Gilpin,101,69,25,Box 2
Gilpin,101,70,25,Box 2
Gilpin,101,71,25,Box 2
Gilpin,101,72,26,Box 2
Gilpin,101,73,25,Box 2
Gilpin,101,74,25,Box 2
Gilpin,101,75,25,Box 2
Gilpin,101,76,25,Box 2
Gilpin,101,77,25,Box 2
Gilpin,101,78,14,Box 3
Gilpin,101,79,25,Box 3
Gilpin,101,80,25,Box 3
Gilpin,101,81,25,Box 3
Gilpin,101,82,25,Box 3
Gilpin,101,83,25,Box 3
Gilpin,101,84,25,Box 3
Gilpin,101,85,25,Box 3
Gilpin,101,86,25,Box 3
Gilpin,101,87,25,Box 3
Gilpin,101,88,25,Box 3
Gilpin,101,89,25,Box 3
Gilpin,101,90,24,Box 3
Gilpin,101,91,24,Box 3
Gilpin,101,92,25,Box 3
Gilpin,101,93,25,Box 3
Gilpin,101,94,25,Box 3
Gilpin,101,95,25,Box 3
Gilpin,101,96,25,Box 3
Gilpin,101,97,25,Box 3
Gilpin,101,98,25,Box 3
Gilpin,101,99,25,Box 3
Gilpin,101,100,25,Box 3
Gilpin,101,101,25,Box 3
Gilpin,101,102,25,Box 3
Gilpin,101,103,25,Box 3
Gilpin,101,104,25,Box 3
Gilpin,101,105,25,Box 3
Gilpin,101,106,25,Box 3
Gilpin,101,107,25,Box 3
Gilpin,101,108,25,Box 3
Gilpin,101,109,25,Box 3
Gilpin,101,110,25,Box 3
Gilpin,101,111,25,Box 3
Gilpin,101,112,25,Box 3
Gilpin,101,113,25,Box 3
Gilpin,101,114,25,Box 3
Gilpin,101,115,25,Box 4
Gilpin,101,116,24,Box 4
Gilpin,101,117,25,Box 4
Gilpin,101,118,25,Box 4
Gilpin,101,119,25,Box 4
Gilpin,101,120,25,Box 4
Gilpin,101,121,26,Box 4
Gilpin,101,122,24,Box 4
Gilpin,101,123,25,Box 4
Gilpin,101,124,25,Box 4
Gilpin,101,125,25,Box 4
Gilpin,101,126,25,Box 4
Gilpin,101,127,25,Box 4
Gilpin,101,128,15,Box 4
Gilpin,101,129,25,Box 4
Gilpin,101,130,25,Box 4
Gilpin,101,131,25,Box 4
Gilpin,101,132,4,Box 4
Gilpin,101,133,24,Box 4
Gilpin,101,134,25,Box 4
Gilpin,101,135,25,Box 4
Gilpin,101,136,25,Box 4
Gilpin,101,137,25,Box 4
Gilpin,101,138,25,Box 4
Gilpin,101,139,25,Box 4
Gilpin,101,140,28,Box 4
