County,Tabulator ID,Batch,# of Ballot Cards,Location
La Plata,1,1,50,Container #1
La Plata,1,2,50,Container #1
La Plata,1,3,50,Container #1
La Plata,1,4,50,Container #1
La Plata,1,5,50,Container #1
La Plata,1,6,50,Container #1
La Plata,1,7,50,Container #1
La Plata,1,8,50,Container #1
La Plata,1,9,50,Container #1
La Plata,1,10,50,Container #1
La Plata,1,11,50,Container #1
La Plata,1,12,50,Container #1
La Plata,1,13,50,Container #1
La Plata,1,14,50,Container #1
La Plata,1,15,50,Container #1
La Plata,1,16,50,Container #1
La Plata,1,17,50,Container #1
La Plata,1,18,50,Container #1
La Plata,1,19,50,Container #1
La Plata,1,20,50,Container #1
La Plata,1,21,50,Container #1
La Plata,1,22,50,Container #1
La Plata,1,23,50,Container #1
La Plata,1,24,50,Container #1
La Plata,1,25,50,Container #1
La Plata,1,26,50,Container #1
La Plata,1,27,50,Container #1
La Plata,1,28,50,Container #1
La Plata,1,29,50,Container #1
La Plata,1,30,50,Container #1
La Plata,1,31,50,Container #2
La Plata,1,32,50,Container #2
La Plata,1,33,50,Container #2
La Plata,1,34,50,Container #2
La Plata,1,35,50,Container #2
La Plata,1,36,50,Container #2
La Plata,1,37,50,Container #2
La Plata,1,38,50,Container #2
La Plata,1,39,50,Container #2
La Plata,1,40,50,Container #2
La Plata,1,41,50,Container #2
La Plata,1,42,50,Container #2
La Plata,1,43,50,Container #2
La Plata,1,44,50,Container #2
La Plata,1,45,50,Container #2
La Plata,1,46,50,Container #2
La Plata,1,47,50,Container #2
La Plata,1,48,50,Container #2
La Plata,1,49,50,Container #2
La Plata,1,50,50,Container #2
La Plata,1,51,50,Container #2
La Plata,1,52,50,Container #2
La Plata,1,53,50,Container #2
La Plata,1,54,50,Container #2
La Plata,1,55,50,Container #2
La Plata,1,56,50,Container #2
La Plata,1,57,50,Container #2
La Plata,1,58,50,Container #2
La Plata,1,59,50,Container #2
La Plata,1,60,50,Container #2
La Plata,1,61,50,Container #3
La Plata,1,62,50,Container #3
La Plata,1,63,50,Container #3
La Plata,1,64,50,Container #3
La Plata,1,65,50,Container #3
La Plata,1,66,50,Container #3
La Plata,1,67,50,Container #3
La Plata,1,68,50,Container #3
La Plata,1,69,50,Container #3
La Plata,1,70,50,Container #3
La Plata,1,71,50,Container #3
La Plata,1,72,50,Container #3
La Plata,1,73,50,Container #3
La Plata,1,74,50,Container #3
La Plata,1,75,51,Container #3
La Plata,1,76,50,Container #3
La Plata,1,77,50,Container #3
La Plata,1,78,50,Container #3
La Plata,1,79,50,Container #3
La Plata,1,80,50,Container #3
La Plata,1,81,50,Container #3
La Plata,1,82,50,Container #3
La Plata,1,83,50,Container #3
La Plata,1,84,50,Container #3
La Plata,1,85,50,Container #3
La Plata,1,86,50,Container #3
La Plata,1,87,50,Container #3
La Plata,1,88,50,Container #3
La Plata,1,89,50,Container #3
La Plata,1,90,50,Container #3
La Plata,1,91,50,Container #4
La Plata,1,92,50,Container #4
